,Input_Features,F_score,P_Value
7807,208304_at,86.68300966139,2.8548508243908952e-18
12215,212831_at,87.13042753370566,2.620607368075154e-18
13106,213727_x_at,87.38888556764039,2.494603911446766e-18
17399,218035_s_at,87.47972207277554,2.4518496401399065e-18
1033,201506_at,87.69608234702156,2.3530954300349222e-18
21981,41469_at,87.9390347535193,2.247180641003258e-18
9452,209967_s_at,88.46072764630219,2.036366640636669e-18
15191,215819_s_at,88.65725099928311,1.962450498659857e-18
6777,207253_s_at,88.8516243084371,1.892119698464941e-18
9278,209791_at,90.08046890659735,1.5047342508562132e-18
20009,220646_s_at,90.26305397829103,1.454728659890956e-18
11533,212148_at,90.341847488337,1.4336929210202223e-18
2293,202766_s_at,90.39146789785008,1.4206103402242802e-18
2644,203116_s_at,90.73547444854843,1.3333020611672891e-18
13994,214617_at,91.83913020969749,1.0893937194322119e-18
15091,215719_x_at,92.0766684129309,1.0433367962758104e-18
6040,206515_at,95.42442194129018,5.735596815555162e-19
15945,216576_x_at,96.70997148949226,4.581283577102229e-19
11961,212577_at,96.84138568318318,4.477931037046323e-19
13284,213906_at,97.24506490187171,4.175540063268909e-19
16545,217179_x_at,97.48350204131994,4.007108975782574e-19
20350,220987_s_at,97.93975770172064,3.704460139539028e-19
9974,210504_at,97.94052185804975,3.7039739594531374e-19
16861,217497_at,98.98761478856326,3.0969812948904974e-19
11756,212372_at,99.95229919747739,2.6301827384952906e-19
5670,206145_at,102.41081210346626,1.745597855089992e-19
1720,202193_at,102.76982095571603,1.6454026763203057e-19
4700,205174_s_at,103.48200287055452,1.464154444211429e-19
10185,210724_at,104.22605667566403,1.2970970748467892e-19
16202,216833_x_at,104.53439527322335,1.233870019333388e-19
5552,206026_s_at,106.3095516071569,9.277873605553074e-20
4817,205291_at,109.55341226787372,5.571795238126764e-20
5457,205931_s_at,111.29552109215656,4.2612343384852667e-20
8715,209222_s_at,112.34917377874443,3.6300214545038493e-20
9343,209858_x_at,112.61144805617496,3.488761224919608e-20
2791,203265_s_at,112.82547721504432,3.37778148202127e-20
16533,217167_x_at,113.17624765096949,3.2038702665668887e-20
3217,203691_at,113.29455586494274,3.147363113826987e-20
9959,210484_s_at,114.29998952586195,2.7075008480503964e-20
2192,202665_s_at,114.93343795671653,2.4640531937122868e-20
7408,207890_s_at,118.72348274218842,1.4160717817057733e-20
18102,218739_at,122.56233638232104,8.213876977815584e-21
16509,217143_s_at,122.90412144239495,7.831089774655987e-21
2288,202761_s_at,122.98697887929512,7.74115443595358e-21
9647,210164_at,125.02629431561188,5.838689509056984e-21
11963,212579_at,126.18969421758058,4.9803944281310125e-21
15337,215966_x_at,126.59504421836483,4.713500605661282e-21
15348,215977_x_at,127.88018881610462,3.962533849165087e-21
3533,204007_at,129.73443073277858,3.0935489596137714e-21
5510,205984_at,131.2239050808421,2.5416832777013615e-21
21759,32069_at,131.53912325084235,2.4388069153774276e-21
10964,211560_s_at,135.57731455737397,1.4480255875993211e-21
5363,205837_s_at,138.27286839368864,1.0306796289778103e-21
2960,203434_s_at,143.3116777757196,5.548645580544171e-22
14159,214784_x_at,143.32628232939456,5.538860543379353e-22
13785,214407_x_at,143.40657182027047,5.4853905329053575e-22
15562,216191_s_at,147.15798155458734,3.505818254117952e-22
11368,211982_x_at,148.62602749790588,2.9510035351798314e-22
10233,210773_s_at,163.6207608015709,5.535823531876278e-23
10206,210746_s_at,164.14647098686447,5.234274495731207e-23
6619,207094_at,167.59860593126436,3.638501303929265e-23
2961,203435_s_at,168.22567936245835,3.4085080662598597e-23
5747,206222_at,170.44992530362148,2.708796961825305e-23
5551,206025_s_at,179.7656384762668,1.0661098498941151e-23
12504,213122_at,179.8838909647603,1.053877698647752e-23
2147,202620_s_at,189.51498061069074,4.2146199843627405e-24
10232,210772_at,197.90080572534944,1.965869767098849e-24
11201,211806_s_at,211.8788441581637,5.890203018359472e-25
12244,212860_at,213.21254026254104,5.271390253079395e-25
11216,211821_x_at,218.83377949699144,3.325604490728325e-25
4275,204749_at,227.06224022527823,1.7287281047339855e-25
6909,207387_s_at,234.4652734514411,9.781363227468712e-26
20707,221345_at,238.14623699527087,7.416505910296206e-26
18326,218963_s_at,243.77303259647732,4.8962715587630626e-26
16151,216782_at,285.18461394904335,2.98003714100515e-27
11215,211820_x_at,291.8366804606048,1.9724989723175113e-27
6047,206522_at,294.19218715907414,1.7080724157628907e-27
5476,205950_s_at,304.4482170617405,9.244028279778645e-28
6533,207008_at,308.4418414829221,7.317776516004621e-28
9602,210119_at,313.8141749734718,5.368507709722508e-28
19550,220187_at,314.1688307721315,5.260797683146399e-28
10604,211163_s_at,322.53798860857506,3.2816550483169436e-28
19035,219672_at,361.4342473027719,4.233260873986334e-29
